,circuit,conn_id,post_tnid,theta,phi,angle_from_xy,rotation_on_xy
149,ORN-PN,4327974,7711230,0.2125462006555567,0.3241593635587156,1.3582501261393398,0.3241593635587156
150,ORN-PN,4328071,4328098,1.6384457367230567,-0.7211723708090049,0.06764940992816015,2.420420282780788
151,ORN-PN,4328115,14935798,1.7002656658182491,-0.6222025840622883,0.12946933902335256,2.5193900695275047
152,ORN-PN,4328205,4328218,1.8842240704212267,-2.477924384799252,0.3134277436263302,0.6636682687905413
153,ORN-PN,4328205,5983554,1.6541072672386774,1.5081913667007438,0.08331094044378085,1.5081913667007438
154,ORN-PN,4328228,5994722,2.262719722223103,-1.043498283927545,0.6919233954282062,2.098094369662248
155,ORN-PN,4655032,4655045,1.1222092274805229,-1.5542074320974655,0.4485870993143737,1.5873852214923276
156,ORN-PN,4701252,4701267,1.4384798251867492,0.4612995809818244,0.13231650160814734,0.4612995809818244
157,ORN-PN,4701288,4701375,,,,
158,ORN-PN,4701391,5356763,2.0277801321667424,-0.26188818390545254,0.4569838053718458,2.8797044696843406
159,ORN-PN,4701429,5361059,1.6273159254433678,0.7532117754981991,0.056519598648471225,0.7532117754981991
160,ORN-PN,4701691,4701713,0.6980228876552704,2.0177485346198387,0.8727734391396261,2.0177485346198387
161,ORN-PN,4701691,5324717,2.7540766986727543,0.2686948562582215,1.1832803718778577,0.2686948562582215
162,ORN-PN,4701691,7710311,1.2450705295909492,2.616537722523166,0.32572579720394734,2.616537722523166
163,ORN-PN,4701754,4701775,0.9417058334725159,-1.187358447278521,0.6290904933223807,1.954234206311272
164,ORN-PN,4701793,4701824,2.1574308588580315,-0.2238423456395126,0.586634532063135,2.9177503079502807
165,ORN-PN,4701793,4701838,2.1906075400470626,1.128878246043493,0.619811213252166,1.128878246043493
166,ORN-PN,4701793,5324819,,,,
167,ORN-PN,4701877,10643499,1.3524493464008567,0.641876094849989,0.21834698039403988,0.641876094849989
168,ORN-PN,4701877,10643579,2.1688628789233,-2.7009629088419302,0.5980665521284037,0.4406297447478629
169,ORN-PN,4701877,4701883,1.081220740141734,-2.203335285769326,0.4895755866531626,0.9382573678204671
170,ORN-PN,4701877,4701897,1.1468205263719955,-2.3978111598679077,0.42397580042290106,0.7437814937218854
171,ORN-PN,4701947,4701982,2.2684962562329085,-2.0857681306508224,0.697699929438012,1.0558245229389707
172,ORN-PN,4701947,5324827,,,,
173,ORN-PN,4702027,4702064,2.2285684663432295,-1.7249258769826366,0.6577721395483329,1.4166667766071566
174,ORN-PN,4702195,7709871,1.8394613894564347,0.1815181653033098,0.2686650626615381,0.1815181653033098
175,ORN-PN,4702276,5356520,0.7948281588520526,-1.5950328003683532,0.775968167942844,1.54655985322144
176,ORN-PN,4702334,4702349,2.4758331690542534,-2.420297102399066,0.9050368422593569,0.7212955511907273
177,ORN-PN,4702334,4702392,0.766613855858553,-2.5202104923213935,0.8041824709363435,0.6213821612683996
178,ORN-PN,4702488,4702509,1.5116227255973773,2.3147854399179026,0.05917360119751924,2.3147854399179026
179,ORN-PN,4702990,4703033,2.0073730421693403,2.461005954436026,0.43657671537444376,2.461005954436026
180,ORN-PN,4703050,4703065,1.0184747217466732,0.43778044012435635,0.5523216050482234,0.43778044012435635
181,ORN-PN,4703114,5356574,1.6443644356121643,0.6565202874565522,0.07356810881726772,0.6565202874565522
182,ORN-PN,5005528,5005536,2.0757204424068934,0.08940175166142882,0.5049241156119968,0.08940175166142882
183,ORN-PN,5005655,5005688,2.2739752664475454,2.6767895277426437,0.7031789396526489,2.6767895277426437
184,ORN-PN,5119580,5119622,2.7763972418691183,-0.3011237045842377,1.2056009150742217,2.8404689490055555
185,ORN-PN,5119580,5356744,1.4086599333725192,1.3411117809947755,0.1621363934223774,1.3411117809947755
186,ORN-PN,5119580,7710580,1.2355521027330725,0.09662653308464039,0.3352442240618241,0.09662653308464039
187,ORN-PN,5218647,5218660,2.460168422760108,-0.2074040626530468,0.8893720959652116,2.9341885909367464
188,ORN-PN,5218647,5324105,2.042740915022466,1.1826003610580957,0.47194458822756946,1.1826003610580957
189,ORN-PN,5218825,5218845,1.3584949245523208,0.07400542838693201,0.21230140224257577,0.07400542838693201
190,ORN-PN,5218876,5324644,2.313789171311953,-0.7748922176005206,0.7429928445170564,2.3667004359892725
191,ORN-PN,5224906,6582020,1.2638699522232437,2.7328031376738204,0.30692637457165284,2.7328031376738204
192,ORN-PN,5225403,5225437,1.1822631521398779,2.817043332936705,0.3885331746550187,2.817043332936705
193,ORN-PN,5225440,5225446,0.5799372035640363,-3.0274156553555818,0.9908591232308602,0.11417699823421135
194,ORN-PN,5225440,6582020,1.8525005468287268,3.0149969744046756,0.2817042200338302,3.0149969744046756
195,ORN-PN,5225456,21930310,0.6875446150913139,2.3263403258579984,0.8832517117035826,2.3263403258579984
196,ORN-PN,5225746,5225752,2.337957147596786,-1.5277030444734818,0.7671608208018896,1.6138896091163113
197,ORN-PN,5225746,5225759,1.640652143987601,-2.7628143676308836,0.0698558171927044,0.3787782859589095
