skeleton_id,node_id,connector_id,distance_to_dendritic_root
3034133,159949,159919,7879.513255816517
3034133,159990,159984,8823.569212610459
3034133,160531,160525,9338.416710625963
3034133,172204,172198,9784.570164554156
3034133,172656,172650,8293.811893713591
3034133,172732,172702,6862.420347881049
3034133,313021,312999,35600.076828502744
3034133,314470,314448,33326.50330854292
3034133,315540,315518,15223.239185421433
3034133,315635,315629,15435.160464813282
3034133,315635,10011413,15435.160464813282
3034133,478777,478771,16762.808030633092
3034133,557546,3033930,39440.63564311984
3034133,592087,592061,40394.47909510994
3034133,592186,592163,39582.971024575745
3034133,749883,749869,9866.42880798825
3034133,752157,752135,22308.087095558363
3034133,987266,987251,15908.32549184714
3034133,987764,987750,15896.13853579717
3034133,988085,988063,14308.25324969718
3034133,1726881,1726875,42430.08725107364
3034133,1938614,1938594,18456.044846481953
3034133,2412119,2412043,17446.449211699397
3034133,2661266,2661239,40615.70477533208
3034133,2661746,2661704,30359.16000962837
3034133,2761729,2761723,35741.88137477674
3034133,2783174,2783154,24956.32741921046
3034133,2873699,2873665,16633.008515307538
3034133,2940503,2940465,16287.197119611348
3034133,2943731,9891494,18138.940545496935
3034133,2949380,2949344,16587.702686169167
3034133,2949455,2949435,17001.806379594327
3034133,3034176,3034199,40753.09927400241
3034133,3034542,3311118,31675.123136633436
3034133,3034670,1504882,30958.237242251536
3034133,3034773,3034804,28094.677966194165
3034133,3034894,3034903,28135.98607496112
3034133,3035050,3035055,24088.883676681853
3034133,3035229,3035238,20750.246056513086
3034133,3035891,3046201,17685.036038912865
3034133,3035928,4025144,16284.248339659975
3034133,3035932,22286413,16184.143535535772
3034133,3036655,3036661,4702.077971979728
3034133,3036826,3036835,3908.949452818357
3034133,3036855,3036835,4960.537431339377
3034133,3037050,3037056,2647.093312247838
3034133,3037510,6207198,5123.381794693243
3034133,3037553,3037554,8666.22886282151
3034133,3037612,3037642,16585.23968670182
3034133,3037735,3037740,18854.017845676794
3034133,3038821,3038871,20646.5895760776
3034133,3038832,4184357,21183.136997222548
3034133,3038835,3038837,21328.84954536649
3034133,3038894,4719986,21415.897029001742
3034133,3038973,6205713,23792.562094636898
3034133,3039167,4747097,26755.206509622676
3034133,3039274,3039293,29212.193718495506
3034133,3039457,6203800,33931.12920167361
3034133,3039467,6203776,34445.616303732095
3034133,3039603,313337,43250.80644626415
3034133,3039611,3073172,43694.51711243221
3034133,3039672,3039674,41050.04392151249
3034133,3039719,3039721,25312.115650363918
3034133,3048059,3868220,37563.30723092944
3034133,3048101,4065333,38893.9486069421
3034133,3049045,6203711,49369.15283984259
3034133,3049417,3049473,54833.65180579809
3034133,3049524,3049792,55474.93284001952
3034133,3049662,5040008,56323.951434033326
3034133,3475797,3475791,8777.764165831122
3034133,3475811,3475791,8976.715324383007
3034133,3477255,10166515,13232.658974073765
3034133,3525430,3525422,7900.429373004488
3034133,3532296,3532312,6607.198551945152
3034133,3532365,6204825,5506.389199550758
3034133,3532483,3532499,6971.533384316546
3034133,3534071,6206747,1648.0612449792825
3034133,3534914,6204465,9690.064403886583
3034133,3535017,6204421,10798.329222527598
3034133,3535368,1766760,19313.292241465188
3034133,3535508,6206135,8434.981431007564
3034133,3535520,20837591,8975.636074900853
3034133,3535576,10157790,12702.063281001127
3034133,3535606,6204333,13137.208201114354
3034133,3535607,6204364,13180.215397670534
3034133,3535614,10157768,13606.852805675564
3034133,3535618,10157742,13818.334993330503
3034133,3535629,6204310,14364.871955529266
3034133,3535632,6204287,14507.412876249266
3034133,3535634,10157716,14584.823647478592
3034133,3535725,3535729,16004.570535401694
3034133,3535912,6205614,18593.715248288976
3034133,3535923,6205584,19161.627461640408
3034133,3535947,3535956,20446.785337130426
3034133,3536011,6205406,20997.09354049053
3034133,3536379,12103504,14312.078914406313
3034133,3536382,16009566,14415.86366958539
3034133,3536581,4947395,14405.733620634495
3034133,3536601,6206835,15266.829311766367
3034133,3536634,10157690,15553.443270571017
3034133,3536661,6206104,16970.777404364588
3034133,3536717,9920324,21370.954214403984
3034133,3536734,6237402,20819.892455687037
3034133,3536977,4320180,17474.943740623155
3034133,3536980,4846207,17609.918287455734
3034133,3536981,4845909,17668.12804173113
3034133,3536982,25365843,17717.168054481986
3034133,3537025,3537029,18642.35505404903
3034133,3537068,4846357,19122.152887841377
3034133,3537142,6205099,20773.70276331066
3034133,3537154,3537160,21097.822861172597
3034133,3537247,6204975,15585.143998584284
3034133,3537269,6204943,15552.476430795901
3034133,3537270,9855240,15585.799962515706
3034133,3537410,3537413,17465.40707234194
3034133,3537429,6204913,17610.164656039775
3034133,3539887,6207143,19230.4435374657
3034133,3540018,6206583,20871.56268515621
3034133,3540031,3540034,20898.394402642345
3034133,3540063,6207358,21417.87570553192
3034133,3540280,4163550,17257.794507953233
3034133,3540348,3540363,18242.768453571724
3034133,3540585,3540588,22850.977219548153
3034133,3547845,3547839,22286.65480137669
3034133,3968556,3968524,20532.68896236066
3034133,4029685,4029626,22585.223886182317
3034133,4184867,4184831,18349.195612194253
3034133,4303217,4303195,14698.362846581167
3034133,4303244,4303224,14355.802930097048
3034133,4314750,4314720,17077.174846664322
3034133,4315772,4315745,18028.39289801106
3034133,4317622,4317609,12704.329799156887
3034133,4319892,4319854,13544.863704830215
3034133,4320174,4320154,16114.377212274845
3034133,4386940,4386927,19351.639356840464
3034133,4716604,4716591,21836.13640700732
3034133,4844867,4844812,12217.858496950397
3034133,4845043,4845021,12578.29062383081
3034133,4845215,4845181,13973.135277584519
3034133,4845481,4845466,15263.50580142174
3034133,4846235,4846207,17818.50696485156
3034133,4892774,4892768,14549.378068333313
3034133,4945742,4945729,11840.194666380386
3034133,4947474,4319682,14798.03681958593
3034133,5226829,5226808,9952.819658322736
3034133,5930545,5930517,15743.758063594727
3034133,5950824,5950804,9863.183026423652
3034133,6203756,5741429,36108.90318718886
3034133,6204028,6204031,31024.497926677654
3034133,6204111,6207246,24160.896041216805
3034133,6204121,6204128,24766.26395483282
3034133,6204184,6204186,25343.813942724762
3034133,6204254,6204256,19528.979956994324
3034133,6204532,10157995,8381.745902114886
3034133,6204547,6204549,6891.629299189699
3034133,6205038,988211,12738.697614142777
3034133,6205055,6205056,11838.02492387198
3034133,6205220,6207970,20832.67063346095
3034133,6205247,6205251,17492.135471340265
3034133,6205294,6206964,17150.353619523255
3034133,6205375,10810035,14040.25442072476
3034133,6205378,17450442,14198.057248290006
3034133,6205666,6205668,15624.091398972752
3034133,6205736,6205739,23799.613141642567
3034133,6205817,1561741,19595.350831435044
3034133,6205876,6205878,15573.47395846566
3034133,6206163,6206167,7635.0509921743505
